,celltypes_fine,celltypes_coarse
31397-3,Acinar cells,Acinar cells
31403-3,Classical_KRT7,Classical PDAC
31405-3,Classical_KRT7,Classical PDAC
31420-3,Acinar cells,Acinar cells
31437-3,iCAF,Fibroblasts
31447-3,Schwann cells,Schwann cells
31451-3,myCAF_ACTA2,Fibroblasts
31465-3,myCAF_POSTN,Fibroblasts
31470-3,Classical_TFF1,Classical PDAC
31480-3,Macrophages_M1,Macrophages
31482-3,Acinar cells,Acinar cells
31489-3,myCAF_POSTN,Fibroblasts
31490-3,Ductal cells,Ductal cells
31499-3,Classical_CEACAM,Classical PDAC
31501-3,Acinar cells,Acinar cells
31505-3,Beta cells,Endocrine cells
31511-3,myCAF_ACTA2,Fibroblasts
31519-3,Acinar cells,Acinar cells
31521-3,myCAF_ACTA2,Fibroblasts
31523-3,myCAF_POSTN,Fibroblasts
31525-3,myCAF_POSTN,Fibroblasts
31534-3,Basal,Basal-like PDAC
31536-3,Classical_KRT7,Classical PDAC
31538-3,Acinar cells,Acinar cells
31539-3,Classical_CEACAM,Classical PDAC
31545-3,Classical_KRT7,Classical PDAC
31546-3,Classical_CEACAM,Classical PDAC
31553-3,B cells,Lymphocytes
31561-3,Acinar cells,Acinar cells
31562-3,Acinar cells,Acinar cells
31565-3,T cells,Lymphocytes
31571-3,Macrophages_M1,Macrophages
31576-3,Acinar cells,Acinar cells
31594-3,myCAF_POSTN,Fibroblasts
31596-3,Classical_CEACAM,Classical PDAC
31603-3,myCAF_ACTA2,Fibroblasts
31607-3,T cells,Lymphocytes
31625-3,Classical_TFF1,Classical PDAC
31636-3,Classical_CEACAM,Classical PDAC
31639-3,T cells,Lymphocytes
31640-3,Classical_KRT7,Classical PDAC
31645-3,myCAF_POSTN,Fibroblasts
31648-3,myCAF_ACTA2,Fibroblasts
31661-3,Acinar cells,Acinar cells
31665-3,Basal,Basal-like PDAC
31693-3,myCAF_POSTN,Fibroblasts
31700-3,Acinar cells,Acinar cells
31705-3,Schwann cells,Schwann cells
31709-3,Beta cells,Endocrine cells
31712-3,Classical_TFF1,Classical PDAC
31716-3,Acinar cells,Acinar cells
31717-3,Macrophages_M2,Macrophages
31720-3,Classical_CEACAM,Classical PDAC
31727-3,Classical_CEACAM,Classical PDAC
31735-3,Ductal cells,Ductal cells
31738-3,T cells,Lymphocytes
31761-3,myCAF_ACTA2,Fibroblasts
31775-3,B cells,Lymphocytes
31778-3,Basal,Basal-like PDAC
31782-3,myCAF_ACTA2,Fibroblasts
31787-3,Endothelial cells,Endothelial cells
31790-3,Endothelial cells,Endothelial cells
31793-3,NK cells,Lymphocytes
31797-3,T cells,Lymphocytes
31800-3,Beta cells,Endocrine cells
31806-3,Classical_CEACAM,Classical PDAC
31808-3,myCAF_POSTN,Fibroblasts
31812-3,Classical_CEACAM,Classical PDAC
31822-3,Classical_CEACAM,Classical PDAC
31826-3,B cells,Lymphocytes
31834-3,Classical_CEACAM,Classical PDAC
31843-3,Classical_CEACAM,Classical PDAC
31855-3,B cells,Lymphocytes
31861-3,Ductal cells,Ductal cells
31863-3,T cells,Lymphocytes
31865-3,Classical_CEACAM,Classical PDAC
31883-3,Acinar cells,Acinar cells
31885-3,Classical_CEACAM,Classical PDAC
31902-3,Dendritic cells,Dendritic cells
31906-3,Basal,Basal-like PDAC
31927-3,Classical_TFF1,Classical PDAC
31931-3,NK cells,Lymphocytes
31933-3,Ductal cells,Ductal cells
31934-3,Classical_TFF1,Classical PDAC
31938-3,Classical_KRT7,Classical PDAC
31944-3,Macrophages_M2,Macrophages
31947-3,Endothelial cells,Endothelial cells
31958-3,myCAF_ACTA2,Fibroblasts
31964-3,Classical_KRT7,Classical PDAC
31978-3,Classical_CEACAM,Classical PDAC
31979-3,B cells,Lymphocytes
31980-3,Schwann cells,Schwann cells
31981-3,Endothelial cells,Endothelial cells
31999-3,Acinar cells,Acinar cells
32004-3,Acinar cells,Acinar cells
32005-3,myCAF_POSTN,Fibroblasts
32006-3,Macrophages_M2,Macrophages
32008-3,Acinar cells,Acinar cells
32010-3,Macrophages_M2,Macrophages
32019-3,Classical_CEACAM,Classical PDAC
32025-3,T cells,Lymphocytes
32034-3,myCAF_ACTA2,Fibroblasts
32036-3,Basal,Basal-like PDAC
32058-3,myCAF_ACTA2,Fibroblasts
32060-3,Basal,Basal-like PDAC
32073-3,Classical_CEACAM,Classical PDAC
32077-3,Macrophages_M1,Macrophages
32088-3,Classical_KRT7,Classical PDAC
32089-3,Endothelial cells,Endothelial cells
32093-3,Macrophages_M1,Macrophages
32096-3,Acinar cells,Acinar cells
32099-3,Endothelial cells,Endothelial cells
32103-3,Beta cells,Endocrine cells
32106-3,iCAF,Fibroblasts
32107-3,Classical_CEACAM,Classical PDAC
32108-3,Beta cells,Endocrine cells
32111-3,Classical_TFF1,Classical PDAC
32117-3,Classical_CEACAM,Classical PDAC
32128-3,Classical_TFF1,Classical PDAC
32133-3,Classical_TFF1,Classical PDAC
32135-3,Classical_TFF1,Classical PDAC
32139-3,Macrophages_M2,Macrophages
32141-3,T cells,Lymphocytes
32146-3,Classical_TFF1,Classical PDAC
32150-3,Endothelial cells,Endothelial cells
32166-3,B cells,Lymphocytes
32172-3,Beta cells,Endocrine cells
32177-3,Acinar cells,Acinar cells
32184-3,Basal,Basal-like PDAC
32186-3,Acinar cells,Acinar cells
32191-3,Classical_CEACAM,Classical PDAC
32195-3,Classical_CEACAM,Classical PDAC
32196-3,Basal,Basal-like PDAC
32210-3,Classical_CEACAM,Classical PDAC
32216-3,Acinar cells,Acinar cells
32217-3,Macrophages_M2,Macrophages
32220-3,Classical_CEACAM,Classical PDAC
32221-3,Classical_CEACAM,Classical PDAC
32222-3,Alpha cells,Endocrine cells
32233-3,Alpha cells,Endocrine cells
32235-3,Ductal cells,Ductal cells
32237-3,myCAF_ACTA2,Fibroblasts
32248-3,Endothelial cells,Endothelial cells
32255-3,Macrophages_M2,Macrophages
32257-3,T cells,Lymphocytes
32260-3,Classical_CEACAM,Classical PDAC
32265-3,myCAF_ACTA2,Fibroblasts
32296-3,Basal,Basal-like PDAC
32301-3,myCAF_ACTA2,Fibroblasts
32313-3,T cells,Lymphocytes
32325-3,Classical_TFF1,Classical PDAC
32326-3,myCAF_POSTN,Fibroblasts
32328-3,Classical_TFF1,Classical PDAC
32329-3,Classical_CEACAM,Classical PDAC
32331-3,Acinar cells,Acinar cells
32338-3,Acinar cells,Acinar cells
32340-3,Macrophages_M1,Macrophages
32341-3,Classical_CEACAM,Classical PDAC
32342-3,myCAF_POSTN,Fibroblasts
32346-3,Classical_CEACAM,Classical PDAC
32367-3,Classical_TFF1,Classical PDAC
32370-3,Basal,Basal-like PDAC
32389-3,Beta cells,Endocrine cells
32400-3,Classical_TFF1,Classical PDAC
32403-3,Classical_CEACAM,Classical PDAC
32417-3,B cells,Lymphocytes
32430-3,Classical_TFF1,Classical PDAC
32444-3,B cells,Lymphocytes
32445-3,myCAF_POSTN,Fibroblasts
32448-3,Classical_CEACAM,Classical PDAC
32461-3,Endothelial cells,Endothelial cells
32468-3,Acinar cells,Acinar cells
32470-3,Macrophages_M1,Macrophages
32471-3,Acinar cells,Acinar cells
32474-3,myCAF_ACTA2,Fibroblasts
32482-3,Macrophages_M1,Macrophages
32498-3,Dendritic cells,Dendritic cells
32503-3,Ductal cells,Ductal cells
32509-3,Schwann cells,Schwann cells
32514-3,Endothelial cells,Endothelial cells
32515-3,Classical_TFF1,Classical PDAC
32521-3,T cells,Lymphocytes
32533-3,myCAF_POSTN,Fibroblasts
32535-3,myCAF_ACTA2,Fibroblasts
32541-3,Classical_CEACAM,Classical PDAC
32552-3,myCAF_ACTA2,Fibroblasts
32558-3,Macrophages_M1,Macrophages
32561-3,Schwann cells,Schwann cells
32568-3,NK cells,Lymphocytes
32570-3,Basal,Basal-like PDAC
32584-3,Classical_KRT7,Classical PDAC
32587-3,myCAF_ACTA2,Fibroblasts
32598-3,Classical_TFF1,Classical PDAC
32599-3,Basal,Basal-like PDAC
32614-3,Classical_CEACAM,Classical PDAC
32626-3,myCAF_POSTN,Fibroblasts
32632-3,myCAF_ACTA2,Fibroblasts
32635-3,Classical_CEACAM,Classical PDAC
32642-3,Acinar cells,Acinar cells
32645-3,Classical_CEACAM,Classical PDAC
32650-3,Acinar cells,Acinar cells
32652-3,myCAF_ACTA2,Fibroblasts
32656-3,B cells,Lymphocytes
32673-3,T cells,Lymphocytes
32675-3,Acinar cells,Acinar cells
32676-3,Classical_KRT7,Classical PDAC
32682-3,Classical_CEACAM,Classical PDAC
32685-3,Schwann cells,Schwann cells
32686-3,Ductal cells,Ductal cells
32690-3,Macrophages_M1,Macrophages
32691-3,Beta cells,Endocrine cells
32692-3,Classical_KRT7,Classical PDAC
32695-3,B cells,Lymphocytes
32706-3,myCAF_ACTA2,Fibroblasts
32707-3,Classical_TFF1,Classical PDAC
32717-3,myCAF_ACTA2,Fibroblasts
32721-3,Endothelial cells,Endothelial cells
32722-3,Classical_TFF1,Classical PDAC
32728-3,Classical_CEACAM,Classical PDAC
32739-3,Classical_KRT7,Classical PDAC
32741-3,Alpha cells,Endocrine cells
32743-3,Macrophages_M1,Macrophages
32744-3,Classical_KRT7,Classical PDAC
32747-3,B cells,Lymphocytes
32748-3,Classical_KRT7,Classical PDAC
32751-3,Basal,Basal-like PDAC
32757-3,Classical_CEACAM,Classical PDAC
32764-3,Classical_TFF1,Classical PDAC
32766-3,myCAF_ACTA2,Fibroblasts
32767-3,Classical_TFF1,Classical PDAC
32771-3,T cells,Lymphocytes
32772-3,Classical_TFF1,Classical PDAC
32781-3,Basal,Basal-like PDAC
32782-3,NK cells,Lymphocytes
32791-3,Classical_CEACAM,Classical PDAC
32795-3,B cells,Lymphocytes
32796-3,Classical_TFF1,Classical PDAC
32803-3,NK cells,Lymphocytes
32806-3,myCAF_POSTN,Fibroblasts
32808-3,Basal,Basal-like PDAC
32813-3,Acinar cells,Acinar cells
32832-3,myCAF_ACTA2,Fibroblasts
32838-3,Basal,Basal-like PDAC
32839-3,Acinar cells,Acinar cells
32844-3,Acinar cells,Acinar cells
32850-3,Classical_CEACAM,Classical PDAC
32859-3,B cells,Lymphocytes
32866-3,Classical_CEACAM,Classical PDAC
32868-3,myCAF_ACTA2,Fibroblasts
32870-3,Acinar cells,Acinar cells
32873-3,Basal,Basal-like PDAC
32885-3,Classical_KRT7,Classical PDAC
32887-3,Endothelial cells,Endothelial cells
32889-3,Acinar cells,Acinar cells
32896-3,B cells,Lymphocytes
32899-3,Classical_CEACAM,Classical PDAC
32900-3,B cells,Lymphocytes
32915-3,myCAF_ACTA2,Fibroblasts
32916-3,myCAF_ACTA2,Fibroblasts
32919-3,iCAF,Fibroblasts
32930-3,Beta cells,Endocrine cells
32933-3,myCAF_POSTN,Fibroblasts
32943-3,Alpha cells,Endocrine cells
32945-3,Classical_CEACAM,Classical PDAC
32946-3,Classical_CEACAM,Classical PDAC
32948-3,Classical_CEACAM,Classical PDAC
32955-3,Classical_TFF1,Classical PDAC
32975-3,Classical_CEACAM,Classical PDAC
32977-3,myCAF_ACTA2,Fibroblasts
32978-3,Macrophages_M2,Macrophages
32989-3,Ductal cells,Ductal cells
32992-3,Basal,Basal-like PDAC
32995-3,Acinar cells,Acinar cells
32999-3,Classical_CEACAM,Classical PDAC
33001-3,iCAF,Fibroblasts
33002-3,myCAF_POSTN,Fibroblasts
33004-3,myCAF_ACTA2,Fibroblasts
33009-3,Classical_CEACAM,Classical PDAC
33016-3,myCAF_ACTA2,Fibroblasts
33023-3,Classical_CEACAM,Classical PDAC
33025-3,myCAF_POSTN,Fibroblasts
33032-3,Classical_TFF1,Classical PDAC
33040-3,Basal,Basal-like PDAC
33047-3,Classical_KRT7,Classical PDAC
33048-3,Macrophages_M2,Macrophages
33063-3,T cells,Lymphocytes
33069-3,Ductal cells,Ductal cells
33077-3,Classical_KRT7,Classical PDAC
33082-3,B cells,Lymphocytes
33098-3,Classical_KRT7,Classical PDAC
33110-3,iCAF,Fibroblasts
33124-3,Dendritic cells,Dendritic cells
33125-3,iCAF,Fibroblasts
33144-3,Endothelial cells,Endothelial cells
33146-3,Classical_KRT7,Classical PDAC
33147-3,Macrophages_M1,Macrophages
33153-3,Macrophages_M2,Macrophages
33159-3,Beta cells,Endocrine cells
33167-3,myCAF_ACTA2,Fibroblasts
33175-3,Acinar cells,Acinar cells
33181-3,Acinar cells,Acinar cells
33184-3,Classical_CEACAM,Classical PDAC
33189-3,Acinar cells,Acinar cells
33206-3,Classical_TFF1,Classical PDAC
33216-3,Beta cells,Endocrine cells
33218-3,myCAF_ACTA2,Fibroblasts
33226-3,Ductal cells,Ductal cells
33247-3,Acinar cells,Acinar cells
33259-3,Ductal cells,Ductal cells
33261-3,Classical_CEACAM,Classical PDAC
33267-3,myCAF_POSTN,Fibroblasts
33277-3,Beta cells,Endocrine cells
33279-3,Macrophages_M1,Macrophages
33282-3,T cells,Lymphocytes
33289-3,Ductal cells,Ductal cells
33295-3,Macrophages_M2,Macrophages
33307-3,Classical_CEACAM,Classical PDAC
33316-3,Acinar cells,Acinar cells
33319-3,myCAF_ACTA2,Fibroblasts
33323-3,Classical_TFF1,Classical PDAC
33329-3,myCAF_ACTA2,Fibroblasts
33356-3,B cells,Lymphocytes
33366-3,myCAF_ACTA2,Fibroblasts
33371-3,Schwann cells,Schwann cells
33372-3,Classical_TFF1,Classical PDAC
33373-3,Classical_TFF1,Classical PDAC
33376-3,Classical_KRT7,Classical PDAC
33379-3,Delta cells,Endocrine cells
33385-3,Classical_CEACAM,Classical PDAC
33393-3,Classical_CEACAM,Classical PDAC
33394-3,Endothelial cells,Endothelial cells
33397-3,B cells,Lymphocytes
33400-3,Schwann cells,Schwann cells
33412-3,Ductal cells,Ductal cells
33415-3,Beta cells,Endocrine cells
33425-3,Classical_TFF1,Classical PDAC
33432-3,NK cells,Lymphocytes
33448-3,Macrophages_M2,Macrophages
33453-3,Endothelial cells,Endothelial cells
33456-3,Classical_TFF1,Classical PDAC
33459-3,Endothelial cells,Endothelial cells
33463-3,Macrophages_M2,Macrophages
33473-3,T cells,Lymphocytes
33475-3,Acinar cells,Acinar cells
33478-3,Acinar cells,Acinar cells
33485-3,Classical_CEACAM,Classical PDAC
33495-3,Classical_TFF1,Classical PDAC
33501-3,Classical_CEACAM,Classical PDAC
33506-3,B cells,Lymphocytes
33518-3,Ductal cells,Ductal cells
33521-3,iCAF,Fibroblasts
33525-3,Endothelial cells,Endothelial cells
33529-3,Acinar cells,Acinar cells
33552-3,Classical_CEACAM,Classical PDAC
33553-3,Classical_CEACAM,Classical PDAC
33555-3,B cells,Lymphocytes
33562-3,T cells,Lymphocytes
33567-3,Classical_CEACAM,Classical PDAC
33581-3,Classical_CEACAM,Classical PDAC
33582-3,Classical_CEACAM,Classical PDAC
33594-3,Macrophages_M2,Macrophages
33597-3,Classical_CEACAM,Classical PDAC
33599-3,myCAF_ACTA2,Fibroblasts
33611-3,NK cells,Lymphocytes
33612-3,Schwann cells,Schwann cells
33615-3,Beta cells,Endocrine cells
33618-3,myCAF_ACTA2,Fibroblasts
33620-3,Acinar cells,Acinar cells
33623-3,Acinar cells,Acinar cells
33625-3,Endothelial cells,Endothelial cells
33626-3,Basal,Basal-like PDAC
33633-3,Acinar cells,Acinar cells
33635-3,myCAF_POSTN,Fibroblasts
33645-3,myCAF_ACTA2,Fibroblasts
33648-3,myCAF_ACTA2,Fibroblasts
33651-3,Classical_CEACAM,Classical PDAC
33655-3,Classical_CEACAM,Classical PDAC
33668-3,Classical_KRT7,Classical PDAC
33670-3,myCAF_ACTA2,Fibroblasts
33687-3,Classical_TFF1,Classical PDAC
33688-3,Classical_CEACAM,Classical PDAC
33691-3,Acinar cells,Acinar cells
33693-3,Classical_CEACAM,Classical PDAC
33697-3,Classical_CEACAM,Classical PDAC
33715-3,myCAF_POSTN,Fibroblasts
33720-3,Ductal cells,Ductal cells
33721-3,Classical_CEACAM,Classical PDAC
33727-3,Classical_REG4,Classical PDAC
33751-3,Classical_CEACAM,Classical PDAC
33760-3,Classical_CEACAM,Classical PDAC
33767-3,Ductal cells,Ductal cells
33773-3,Classical_CEACAM,Classical PDAC
33774-3,Classical_CEACAM,Classical PDAC
33780-3,Schwann cells,Schwann cells
33781-3,Classical_CEACAM,Classical PDAC
33784-3,iCAF,Fibroblasts
33792-3,Ductal cells,Ductal cells
33806-3,Classical_KRT7,Classical PDAC
33807-3,myCAF_ACTA2,Fibroblasts
33809-3,Macrophages_M1,Macrophages
33815-3,Acinar cells,Acinar cells
33816-3,Acinar cells,Acinar cells
33819-3,Ductal cells,Ductal cells
33826-3,Ductal cells,Ductal cells
33832-3,myCAF_ACTA2,Fibroblasts
33833-3,Classical_TFF1,Classical PDAC
33834-3,Ductal cells,Ductal cells
33836-3,Acinar cells,Acinar cells
33847-3,Classical_CEACAM,Classical PDAC
33848-3,T cells,Lymphocytes
33861-3,Macrophages_M1,Macrophages
33880-3,Classical_CEACAM,Classical PDAC
33881-3,Ductal cells,Ductal cells
33887-3,Acinar cells,Acinar cells
33901-3,Endothelial cells,Endothelial cells
33902-3,myCAF_POSTN,Fibroblasts
33906-3,Classical_TFF1,Classical PDAC
33908-3,Classical_KRT7,Classical PDAC
33909-3,Classical_TFF1,Classical PDAC
33911-3,Classical_CEACAM,Classical PDAC
33914-3,myCAF_ACTA2,Fibroblasts
33919-3,Classical_TFF1,Classical PDAC
33947-3,NK cells,Lymphocytes
33949-3,B cells,Lymphocytes
33951-3,Beta cells,Endocrine cells
33954-3,B cells,Lymphocytes
33968-3,Classical_CEACAM,Classical PDAC
33969-3,Acinar cells,Acinar cells
33971-3,NK cells,Lymphocytes
33973-3,Macrophages_M2,Macrophages
33993-3,Classical_KRT7,Classical PDAC
33994-3,Beta cells,Endocrine cells
34006-3,Classical_CEACAM,Classical PDAC
34009-3,Classical_KRT7,Classical PDAC
34015-3,Beta cells,Endocrine cells
34019-3,Basal,Basal-like PDAC
34031-3,Acinar cells,Acinar cells
34041-3,Dendritic cells,Dendritic cells
34047-3,iCAF,Fibroblasts
34049-3,myCAF_ACTA2,Fibroblasts
34050-3,B cells,Lymphocytes
34063-3,myCAF_POSTN,Fibroblasts
34067-3,Classical_CEACAM,Classical PDAC
34076-3,B cells,Lymphocytes
34077-3,Dendritic cells,Dendritic cells
34085-3,myCAF_ACTA2,Fibroblasts
34090-3,Classical_TFF1,Classical PDAC
34092-3,Acinar cells,Acinar cells
34106-3,Ductal cells,Ductal cells
34127-3,Classical_TFF1,Classical PDAC
34135-3,Alpha cells,Endocrine cells
34139-3,Classical_CEACAM,Classical PDAC
34141-3,B cells,Lymphocytes
34145-3,NK cells,Lymphocytes
34146-3,Acinar cells,Acinar cells
34151-3,myCAF_ACTA2,Fibroblasts
34152-3,B cells,Lymphocytes
34154-3,Classical_KRT7,Classical PDAC
34158-3,Classical_CEACAM,Classical PDAC
34164-3,Classical_TFF1,Classical PDAC
34176-3,Classical_KRT7,Classical PDAC
34179-3,Classical_CEACAM,Classical PDAC
34181-3,Endothelial cells,Endothelial cells
34196-3,Classical_TFF1,Classical PDAC
34202-3,Classical_CEACAM,Classical PDAC
34203-3,Classical_CEACAM,Classical PDAC
34210-3,Alpha cells,Endocrine cells
34228-3,Classical_TFF1,Classical PDAC
34232-3,myCAF_ACTA2,Fibroblasts
34234-3,Macrophages_M2,Macrophages
34235-3,Macrophages_M1,Macrophages
34237-3,myCAF_ACTA2,Fibroblasts
34250-3,Classical_CEACAM,Classical PDAC
34251-3,Basal,Basal-like PDAC
34252-3,Schwann cells,Schwann cells
34253-3,Classical_TFF1,Classical PDAC
34259-3,Classical_TFF1,Classical PDAC
34264-3,Classical_REG4,Classical PDAC
34269-3,Alpha cells,Endocrine cells
34272-3,Classical_TFF1,Classical PDAC
34273-3,Basal,Basal-like PDAC
34280-3,iCAF,Fibroblasts
34284-3,Classical_KRT7,Classical PDAC
34288-3,Classical_CEACAM,Classical PDAC
34289-3,Classical_CEACAM,Classical PDAC
34292-3,Acinar cells,Acinar cells
34294-3,Classical_KRT7,Classical PDAC
34302-3,B cells,Lymphocytes
34309-3,B cells,Lymphocytes
34310-3,Acinar cells,Acinar cells
34323-3,Classical_TFF1,Classical PDAC
34341-3,Endothelial cells,Endothelial cells
34344-3,B cells,Lymphocytes
34355-3,B cells,Lymphocytes
34361-3,Ductal cells,Ductal cells
34382-3,Classical_TFF1,Classical PDAC
34384-3,Macrophages_M2,Macrophages
34389-3,Beta cells,Endocrine cells
34390-3,Classical_KRT7,Classical PDAC
34394-3,Classical_TFF1,Classical PDAC
34407-3,Classical_CEACAM,Classical PDAC
34411-3,Classical_CEACAM,Classical PDAC
34419-3,Acinar cells,Acinar cells
34421-3,Classical_KRT7,Classical PDAC
34423-3,Classical_TFF1,Classical PDAC
34429-3,Classical_CEACAM,Classical PDAC
34439-3,Acinar cells,Acinar cells
34441-3,Classical_TFF1,Classical PDAC
34442-3,Macrophages_M2,Macrophages
34447-3,Classical_CEACAM,Classical PDAC
34451-3,Endothelial cells,Endothelial cells
34456-3,Beta cells,Endocrine cells
34457-3,Acinar cells,Acinar cells
34458-3,Endothelial cells,Endothelial cells
34461-3,myCAF_ACTA2,Fibroblasts
34467-3,Schwann cells,Schwann cells
34474-3,Classical_CEACAM,Classical PDAC
34475-3,Classical_CEACAM,Classical PDAC
34480-3,Classical_CEACAM,Classical PDAC
34481-3,myCAF_POSTN,Fibroblasts
34482-3,Ductal cells,Ductal cells
34485-3,Macrophages_M1,Macrophages
34488-3,Classical_TFF1,Classical PDAC
34498-3,B cells,Lymphocytes
34502-3,B cells,Lymphocytes
34513-3,Acinar cells,Acinar cells
34518-3,myCAF_ACTA2,Fibroblasts
34527-3,Endothelial cells,Endothelial cells
34530-3,Ductal cells,Ductal cells
34531-3,Acinar cells,Acinar cells
34539-3,Macrophages_M1,Macrophages
34540-3,Classical_CEACAM,Classical PDAC
34545-3,Ductal cells,Ductal cells
34549-3,T cells,Lymphocytes
34560-3,Classical_CEACAM,Classical PDAC
34577-3,Beta cells,Endocrine cells
34581-3,Acinar cells,Acinar cells
34584-3,Classical_TFF1,Classical PDAC
34602-3,Endothelial cells,Endothelial cells
34603-3,Alpha cells,Endocrine cells
34604-3,Classical_CEACAM,Classical PDAC
34612-3,B cells,Lymphocytes
34621-3,iCAF,Fibroblasts
34647-3,T cells,Lymphocytes
34648-3,B cells,Lymphocytes
34654-3,T cells,Lymphocytes
34658-3,B cells,Lymphocytes
34665-3,Classical_CEACAM,Classical PDAC
34668-3,Acinar cells,Acinar cells
34669-3,Macrophages_M1,Macrophages
34685-3,Classical_CEACAM,Classical PDAC
34691-3,Basal,Basal-like PDAC
34692-3,Acinar cells,Acinar cells
34693-3,Classical_REG4,Classical PDAC
34699-3,Macrophages_M2,Macrophages
34702-3,myCAF_POSTN,Fibroblasts
34721-3,Beta cells,Endocrine cells
34722-3,Schwann cells,Schwann cells
34730-3,Endothelial cells,Endothelial cells
34733-3,Classical_CEACAM,Classical PDAC
34734-3,B cells,Lymphocytes
34754-3,Classical_CEACAM,Classical PDAC
34757-3,Acinar cells,Acinar cells
34758-3,Classical_CEACAM,Classical PDAC
34759-3,Alpha cells,Endocrine cells
34760-3,Endothelial cells,Endothelial cells
34763-3,Acinar cells,Acinar cells
34765-3,Classical_KRT7,Classical PDAC
34767-3,Classical_CEACAM,Classical PDAC
34777-3,Schwann cells,Schwann cells
34782-3,Classical_CEACAM,Classical PDAC
34793-3,Classical_CEACAM,Classical PDAC
34799-3,Classical_TFF1,Classical PDAC
34800-3,Basal,Basal-like PDAC
34824-3,B cells,Lymphocytes
34825-3,Macrophages_M2,Macrophages
34827-3,Classical_CEACAM,Classical PDAC
34849-3,Classical_CEACAM,Classical PDAC
34851-3,Classical_CEACAM,Classical PDAC
34869-3,Acinar cells,Acinar cells
34874-3,Classical_CEACAM,Classical PDAC
34875-3,Classical_CEACAM,Classical PDAC
34896-3,Schwann cells,Schwann cells
34912-3,Endothelial cells,Endothelial cells
34914-3,Classical_KRT7,Classical PDAC
34938-3,Endothelial cells,Endothelial cells
34944-3,Classical_CEACAM,Classical PDAC
34946-3,Classical_CEACAM,Classical PDAC
34947-3,Macrophages_M1,Macrophages
34957-3,Acinar cells,Acinar cells
34961-3,Macrophages_M1,Macrophages
34964-3,Schwann cells,Schwann cells
34971-3,Classical_KRT7,Classical PDAC
34972-3,Classical_CEACAM,Classical PDAC
34975-3,myCAF_ACTA2,Fibroblasts
34991-3,Classical_TFF1,Classical PDAC
34995-3,NK cells,Lymphocytes
35010-3,myCAF_ACTA2,Fibroblasts
35022-3,Classical_REG4,Classical PDAC
35026-3,Acinar cells,Acinar cells
35037-3,Classical_CEACAM,Classical PDAC
35039-3,iCAF,Fibroblasts
35043-3,Classical_KRT7,Classical PDAC
35046-3,Classical_CEACAM,Classical PDAC
35050-3,T cells,Lymphocytes
35052-3,NK cells,Lymphocytes
35086-3,myCAF_ACTA2,Fibroblasts
35101-3,Beta cells,Endocrine cells
35119-3,B cells,Lymphocytes
35124-3,T cells,Lymphocytes
35136-3,Endothelial cells,Endothelial cells
35143-3,Acinar cells,Acinar cells
35145-3,B cells,Lymphocytes
35146-3,Classical_TFF1,Classical PDAC
35154-3,T cells,Lymphocytes
35158-3,myCAF_POSTN,Fibroblasts
35179-3,Macrophages_M1,Macrophages
35190-3,Macrophages_M2,Macrophages
35192-3,Basal,Basal-like PDAC
35196-3,Classical_CEACAM,Classical PDAC
35213-3,Ductal cells,Ductal cells
35219-3,myCAF_ACTA2,Fibroblasts
35223-3,Classical_CEACAM,Classical PDAC
35225-3,Classical_TFF1,Classical PDAC
35231-3,myCAF_ACTA2,Fibroblasts
35238-3,Beta cells,Endocrine cells
35243-3,Macrophages_M2,Macrophages
35255-3,Classical_CEACAM,Classical PDAC
35258-3,Classical_CEACAM,Classical PDAC
35266-3,myCAF_POSTN,Fibroblasts
35268-3,Classical_TFF1,Classical PDAC
35273-3,Macrophages_M1,Macrophages
35274-3,Classical_KRT7,Classical PDAC
35282-3,myCAF_ACTA2,Fibroblasts
35285-3,Ductal cells,Ductal cells
35288-3,Classical_CEACAM,Classical PDAC
35291-3,Acinar cells,Acinar cells
35293-3,T cells,Lymphocytes
35300-3,T cells,Lymphocytes
35312-3,Macrophages_M2,Macrophages
35314-3,Basal,Basal-like PDAC
35318-3,Acinar cells,Acinar cells
35322-3,Classical_CEACAM,Classical PDAC
35326-3,Classical_CEACAM,Classical PDAC
35339-3,Classical_TFF1,Classical PDAC
35346-3,Basal,Basal-like PDAC
35356-3,NK cells,Lymphocytes
35361-3,Macrophages_M2,Macrophages
35365-3,myCAF_ACTA2,Fibroblasts
35367-3,Classical_TFF1,Classical PDAC
35370-3,Classical_CEACAM,Classical PDAC
35374-3,Ductal cells,Ductal cells
35376-3,Classical_KRT7,Classical PDAC
35380-3,NK cells,Lymphocytes
35382-3,myCAF_ACTA2,Fibroblasts
35392-3,Acinar cells,Acinar cells
35407-3,Macrophages_M2,Macrophages
35412-3,Classical_CEACAM,Classical PDAC
35423-3,Endothelial cells,Endothelial cells
35448-3,Classical_KRT7,Classical PDAC
35452-3,Macrophages_M1,Macrophages
35458-3,Classical_CEACAM,Classical PDAC
35461-3,Classical_TFF1,Classical PDAC
35465-3,Macrophages_M1,Macrophages
35466-3,Classical_TFF1,Classical PDAC
35479-3,T cells,Lymphocytes
35481-3,Classical_KRT7,Classical PDAC
35487-3,Endothelial cells,Endothelial cells
35491-3,Classical_CEACAM,Classical PDAC
35497-3,Classical_TFF1,Classical PDAC
35516-3,T cells,Lymphocytes
35517-3,myCAF_POSTN,Fibroblasts
35530-3,iCAF,Fibroblasts
