,celltypes_fine,celltypes_coarse
115905-3,Classical_REG4,Classical PDAC
115906-3,Classical_CEACAM,Classical PDAC
115930-3,myCAF_POSTN,Fibroblasts
115944-3,T cells,Lymphocytes
115951-3,myCAF_ACTA2,Fibroblasts
115960-3,Alpha cells,Endocrine cells
115963-3,Classical_TFF1,Classical PDAC
115972-3,Classical_KRT7,Classical PDAC
115981-3,Classical_CEACAM,Classical PDAC
116030-3,Basal,Basal-like PDAC
116035-3,B cells,Lymphocytes
116036-3,Classical_CEACAM,Classical PDAC
116049-3,Macrophages_M1,Macrophages
116060-3,Classical_CEACAM,Classical PDAC
116071-3,iCAF,Fibroblasts
116077-3,Classical_CEACAM,Classical PDAC
116100-3,Classical_TFF1,Classical PDAC
116101-3,Macrophages_M2,Macrophages
116103-3,myCAF_ACTA2,Fibroblasts
116111-3,Classical_TFF1,Classical PDAC
116136-3,Macrophages_M1,Macrophages
116137-3,Classical_TFF1,Classical PDAC
116155-3,Acinar cells,Acinar cells
116156-3,Endothelial cells,Endothelial cells
116163-3,NK cells,Lymphocytes
116169-3,Classical_CEACAM,Classical PDAC
116175-3,Macrophages_M1,Macrophages
116187-3,B cells,Lymphocytes
116188-3,Ductal cells,Ductal cells
116189-3,Endothelial cells,Endothelial cells
116202-3,Classical_CEACAM,Classical PDAC
116222-3,Basal,Basal-like PDAC
116225-3,Acinar cells,Acinar cells
116232-3,Basal,Basal-like PDAC
116236-3,T cells,Lymphocytes
116249-3,Schwann cells,Schwann cells
116253-3,Classical_CEACAM,Classical PDAC
116267-3,Acinar cells,Acinar cells
116273-3,Classical_CEACAM,Classical PDAC
116282-3,Classical_CEACAM,Classical PDAC
116309-3,Endothelial cells,Endothelial cells
116314-3,Endothelial cells,Endothelial cells
116321-3,Basal,Basal-like PDAC
116326-3,Classical_KRT7,Classical PDAC
116347-3,Classical_TFF1,Classical PDAC
116351-3,Delta cells,Endocrine cells
116357-3,Beta cells,Endocrine cells
116386-3,myCAF_ACTA2,Fibroblasts
116395-3,Ductal cells,Ductal cells
116400-3,Basal,Basal-like PDAC
116440-3,Ductal cells,Ductal cells
116443-3,Classical_TFF1,Classical PDAC
116446-3,Schwann cells,Schwann cells
116450-3,Ductal cells,Ductal cells
116456-3,Classical_TFF1,Classical PDAC
116457-3,Alpha cells,Endocrine cells
116470-3,myCAF_ACTA2,Fibroblasts
116473-3,Classical_TFF1,Classical PDAC
116483-3,myCAF_ACTA2,Fibroblasts
116498-3,myCAF_ACTA2,Fibroblasts
116500-3,Endothelial cells,Endothelial cells
116502-3,myCAF_ACTA2,Fibroblasts
116511-3,Classical_TFF1,Classical PDAC
116517-3,Classical_CEACAM,Classical PDAC
116529-3,Classical_CEACAM,Classical PDAC
116532-3,Classical_CEACAM,Classical PDAC
